tn;begin;end
1602144;22.11.2017;31.12.9999
1602145;05.12.2017;31.12.9999
1602149;25.12.2012;31.12.9999
1602151;01.04.2016;31.12.9999
1602154;25.06.2019;31.12.9999
1602155;06.12.2016;31.12.9999
1602158;20.12.2017;31.12.9999
1602165;06.12.2016;31.12.9999
1602166;09.09.2016;31.12.9999
1602167;06.12.2016;31.12.9999
1602168;09.04.2014;31.12.9999
1602169;10.09.2012;31.12.9999
1602172;20.12.2017;31.12.9999
1602173;01.09.2016;31.12.9999
1602174;20.06.2016;31.12.9999
1602175;01.12.2014;31.12.9999
1602183;10.12.2014;31.12.9999
1602184;05.03.2019;31.12.9999
1602187;01.02.2013;31.12.9999
1602189;01.12.2014;31.12.9999
1602190;15.12.2015;31.12.9999
1602193;25.03.2008;31.12.9999
1602194;01.04.2009;31.12.9999
1602195;01.04.2009;31.12.9999
1602198;10.12.2012;31.12.9999
1602199;20.12.2017;31.12.9999
1602203;29.12.2017;31.12.9999
1602205;03.05.2018;31.12.9999
1602206;01.04.2020;31.12.9999
1602210;01.12.2014;31.12.9999
1602212;01.08.2018;31.12.9999
1602213;01.04.2020;31.12.9999
1602220;20.12.2017;31.12.9999
1602221;06.12.2016;31.12.9999
1602222;03.09.2002;31.12.9999
1602223;20.06.2012;31.12.9999
1602224;18.07.2018;31.12.9999
1602226;01.12.2014;31.12.9999
1602227;03.12.2014;31.12.9999
1602229;18.03.2008;31.12.9999
1602230;01.04.2016;31.12.9999
1602235;01.08.2018;31.12.9999
1602236;18.07.2018;31.12.9999
1602238;01.06.2015;31.12.9999
1602239;21.05.2018;31.12.9999
1602242;01.01.2010;31.12.9999
1602244;01.08.2016;31.12.9999
1602245;01.04.2016;31.12.9999
1602248;03.11.2016;31.12.9999
1602250;19.02.2015;31.12.9999
1602252;18.07.2016;31.12.9999
1602253;20.12.2017;31.12.9999
1602255;03.06.2019;31.12.9999
1602256;20.12.2017;31.12.9999
1602258;10.12.2012;31.12.9999
1602259;01.06.2016;31.12.9999
1602261;13.09.2011;31.12.9999
1602262;18.07.2016;31.12.9999
1602264;01.06.2016;31.12.9999
1602267;07.05.2015;31.12.9999
1602269;20.12.2017;31.12.9999
1602272;20.12.2017;31.12.9999
1602273;01.12.2014;31.12.9999
1602274;20.12.2017;31.12.9999
1602277;23.10.2019;31.12.9999
1602278;03.02.2020;31.12.9999
1602281;08.10.2018;31.12.9999
1602284;01.09.2016;31.12.9999
1602285;16.02.1982;31.12.9999
1602285;21.01.2010;31.12.9999
1602286;01.09.2016;31.12.9999
1602287;01.04.2009;31.12.9999
1602288;14.03.2016;31.12.9999
1602291;20.12.2017;31.12.9999
1602292;25.12.2015;31.12.9999
1602293;16.04.2018;31.12.9999
1602294;10.12.2012;31.12.9999
1602295;01.03.2018;31.12.9999
1602296;18.07.2016;31.12.9999
1602297;20.12.2017;31.12.9999
1602298;20.12.2017;31.12.9999
1602299;22.04.2013;31.12.9999
1602300;20.12.2017;31.12.9999
1602301;18.07.2016;31.12.9999
1602303;01.09.2017;31.12.9999
1602308;18.08.2016;31.12.9999
1602310;11.12.2014;31.12.9999
1602311;01.12.2014;31.12.9999
1602315;01.04.2016;31.12.9999
1602316;22.08.2016;31.12.9999
1602317;06.12.2016;31.12.9999
1602318;03.05.2018;31.12.9999
1602322;10.12.2014;31.12.9999
1602323;03.02.2020;31.12.9999
1602331;29.12.2017;31.12.9999
1602332;01.07.2013;31.12.9999
1602333;08.10.2013;31.12.9999
1602334;20.07.2015;31.12.9999
1602335;22.07.2016;31.12.9999
1602336;20.12.2017;31.12.9999
1602337;01.04.2016;31.12.9999
1602339;17.07.2014;31.12.9999
1602340;02.05.2006;31.12.9999
1602341;26.04.2016;31.12.9999
1602342;17.09.2013;31.12.9999
1602344;18.07.2016;31.12.9999
1602345;18.07.2018;31.12.9999
1602347;07.09.2016;31.12.9999
