rp,tn
70,606337
70,606338
70,606339
70,606341
70,606342
70,606344
70,606345
70,606346
70,606347
70,606349
70,606350
70,606353
70,606354
70,606357
70,606359
70,606360
70,606361
70,606362
70,606363
70,606365
70,606366
70,606367
70,606368
70,606369
70,606371
70,606372
70,606373
70,606374
70,606375
70,606376
70,606377
70,606378
70,606379
70,606380
70,606381
70,606382
70,606383
70,606384
70,606386
70,606389
70,606390
70,606391
70,606393
70,606394
70,606395
70,606396
70,606398
70,606399
70,606403
70,606404
70,606405
70,606406
70,606407
70,606409
70,606410
70,606411
70,606412
70,606413
70,606414
70,606415
70,606416
70,606417
70,606419
70,606421
70,606422
70,606423
70,606424
70,606425
70,606426
70,606427
70,606428
70,606430
70,606432
70,606433
70,606434
70,606436
70,606437
70,606438
70,606439
70,606440
70,606441
70,606442
70,606444
70,606445
70,606446
70,606448
70,606451
70,606452
70,606453
70,606454
70,606455
70,606456
70,606457
70,606458
70,606460
70,606461
70,606463
70,606464
70,606465
70,606466
70,606467
70,606468
70,606469
70,606470
70,606471
70,606472
70,606473
70,606474
70,606475
70,606477
70,606478
70,606479
70,606480
70,606481
70,606482
70,606483
70,606484
70,606485
70,606486
70,606487
70,606488
70,606489
70,606491
70,606492
70,606494
70,606495
70,606497
70,606498
70,606499
70,606500
70,606502
70,606503
70,606504
70,606505
70,606506
70,606507
70,606508
70,606509
70,606510
70,606511
70,606512
70,606513
70,606514
70,606516
70,606517
70,606518
70,606519
70,606520
70,606521
70,606522
70,606524
70,606526
70,606528
70,606529
70,606530
70,606532
70,606533
70,606534
70,606536
70,606537
70,606538
70,606539
70,606540
70,606541
70,606543
70,606544
70,606545
70,606549
70,606551
70,606552
70,606553
70,606557
70,606561
70,606562
70,606564
70,606565
70,606566
70,606569
70,606570
70,606571
70,606573
70,606574
70,606575
70,606577
70,606579
70,606580
70,606581
70,606582
70,606583
70,606584
70,606585
70,606587
70,606588
70,606589
70,606590
70,606591
70,606593
70,606594
70,606595
70,606596
70,606597
70,606598
70,606599
70,606600
70,606601
70,606603
70,606604
70,606605
70,606607
70,606608
70,606609
70,606610
70,606611
70,606612
70,606613
70,606614
70,606616
70,606617
70,606621
70,606623
70,606626
70,606627
70,606631
70,606635
70,606636
70,606639
70,606640
70,606641
70,606645
70,606646
70,606647
70,606649
70,606650
70,606651
70,606654
70,606658
70,606659
70,606660
70,606661
70,606663
70,606667
70,606669
70,606670
70,606672
70,606673
70,606677
70,606681
70,606688
70,606689
70,606690
70,606693
70,606694
70,606695
70,606696
70,606697
70,606698
70,606699
70,606700
70,606702
70,606704
70,606707
70,606708
70,606709
70,606710
70,606711
70,606713
,606714
70,606714
70,606715
70,606716
70,606717
70,606719
70,606722
70,606723
70,606724
70,606726
70,606727
70,606728
70,606729
70,606731
70,606732
70,606733
70,606735
70,606736
70,606738
70,606739
70,606740
70,606742
70,606743
70,606744
70,606745
70,606746
70,606747
70,606748
70,606750
70,606751
70,606752
70,606753
70,606754
70,606756
70,606758
70,606760
70,606762
70,606763
70,606764
70,606765
70,606768
70,606770
70,606772
70,606773
70,606774
70,606775
70,606776
70,606777
70,606778
70,606779
70,606781
70,606783
70,606784
70,606785
70,606787
70,606788
70,606790
70,606791
70,606792
70,606793
70,606794
70,606795
70,606797
70,606798
70,606799
70,606803
70,606805
70,606806
70,606810
70,606811
70,606812
70,606813
70,606814
70,606815
70,606819
70,606820
70,606821
70,606822
70,606823
70,606825
70,606827
70,606828
70,606829
70,606833
70,606836
70,606838
70,606839
70,606840
70,606841
70,606842
70,606843
70,606844
70,606845
70,606846
70,606847
70,606849
70,606850
70,606851
70,606852
70,606854
70,606855
70,606856
70,606857
70,606858
70,606859
70,606860
70,606861
70,606862
