tn;begin;end
2001033;01.12.2009;01.01.2099
2001034;01.05.2016;31.12.9999
2001036;01.10.2018;31.12.9999
2001037;25.11.2015;01.01.2099
2001039;20.12.2005;01.01.2099
2001040;01.07.2020;31.12.9999
2001041;01.01.2011;31.12.2099
2001042;01.03.2013;31.12.9999
2001043;01.01.2012;31.12.9999
2001045;27.01.2020;31.12.9999
2001047;01.05.2020;31.12.9999
2001048;20.12.2005;01.01.2099
2001049;02.08.2011;01.01.2099
2001051;01.05.2009;01.01.2099
2001052;23.03.2009;01.01.2099
2001052;01.01.2012;31.12.9999
2001053;01.10.2014;01.01.2099
2001054;01.06.2015;01.01.2099
2001055;01.07.2020;31.12.9999
2001056;03.07.2012;31.12.9999
2001057;01.01.2011;31.12.9999
2001058;11.12.2017;31.12.9999
2001060;04.02.2014;31.12.9999
2001062;01.07.2014;01.01.2099
2001063;23.08.2010;01.01.2099
2001064;22.06.2015;31.12.9999
2001065;01.02.2020;31.12.9999
2001067;11.04.2011;01.01.2099
2001068;01.07.2017;31.12.9999
2001069;21.12.2010;31.12.9999
2001070;01.05.2018;31.12.9999
2001071;25.10.2008;01.01.2099
2001072;01.10.2017;31.12.9999
2001073;19.07.2010;01.01.2099
2001074;01.11.2013;31.12.9999
2001075;15.12.2015;31.12.9999
2001076;01.03.2020;31.12.9999
2001077;28.09.2008;31.12.9999
2001078;01.01.2014;31.12.9999
2001080;20.04.2017;31.12.9999
2001081;01.11.2007;31.12.9999
2001082;15.07.2019;31.12.9999
2001087;20.01.2010;31.12.9999
2001090;10.11.2013;01.01.2099
2001091;03.11.2011;31.12.9999
2001092;01.07.2020;31.12.9999
2001093;01.01.2010;31.12.9999
2001094;26.12.2016;31.12.9999
2001097;01.03.2016;01.01.2099
2001099;01.03.2019;31.12.9999
2001100;01.06.2019;31.12.9999
2001101;29.12.2016;31.12.9999
2001102;01.01.2015;01.01.9999
2001103;01.03.2018;31.12.9999
2001104;01.07.2018;31.12.9999
2001106;15.08.2013;31.12.9999
2001108;05.09.2007;01.01.2099
2001108;04.02.2008;31.12.9999
2001109;01.09.2011;31.12.9999
2001110;23.11.2015;01.01.2099
2001112;01.06.2017;31.12.9999
2001114;01.07.2016;31.12.9999
2001115;01.03.2018;31.12.9999
2001116;22.03.2006;31.12.9999
2001118;05.07.2018;31.12.9999
2001119;13.09.2010;31.12.9999
2001120;01.10.2005;01.01.2099
2001120;01.01.2010;31.12.9999
2001122;01.05.2009;31.12.9999
2001123;01.10.2018;31.12.9999
2001126;13.08.2014;31.12.9999
2001131;24.06.2019;31.12.9999
2001133;14.05.2013;01.01.2099
2001137;11.03.2013;31.12.9999
2001138;28.01.2013;31.12.9999
2001140;10.06.2019;31.12.9999
2001145;01.07.2012;01.01.2099
2001149;01.12.2016;01.01.2099
2001152;01.01.2017;01.01.2099
2001158;01.04.2020;31.12.9999
2001159;01.03.2005;31.12.2099
2001161;01.07.2013;31.12.9999
2001162;01.06.2005;31.12.2099
2001164;01.12.2011;01.01.2099
2001164;01.01.2013;31.12.9999
2001165;01.07.2013;01.01.2099
2001169;22.05.2014;31.12.9999
2001170;01.05.2019;31.12.9999
2001171;16.12.2013;01.01.2099
2001172;01.05.2019;31.12.9999
2001173;20.03.2012;31.12.2099
2001174;20.03.2015;01.01.2099
2001175;02.12.2010;01.01.2099
2001178;01.11.2012;31.12.9999
2001181;01.11.2013;01.01.2099
2001182;01.09.2013;31.12.9999
2001183;29.10.2009;31.12.9999
2001185;01.12.2016;01.01.2099
2001186;01.11.2013;01.01.2099
2001188;01.01.2012;31.12.9999
2001190;01.07.2013;01.01.2099
2001191;01.07.2013;01.01.2099
2001192;01.08.2012;01.01.2099
2001200;01.01.2008;01.01.2099
2001201;01.09.2010;01.01.2099
2001205;15.04.2006;01.01.2099
2001206;22.01.2009;01.01.2099
2001208;07.11.2005;31.12.9999
2001210;23.09.2008;31.12.9999
2001213;01.08.2013;31.12.9999
2001218;01.10.2003;31.12.2099
2001221;10.06.2019;31.12.9999
2001222;01.09.2009;01.01.2099
2001223;21.03.2011;31.12.9999
2001224;26.04.2011;31.12.9999
2001225;31.05.2011;01.01.2099
2001226;01.08.2016;31.12.9999
2001228;18.04.2011;01.01.2099
2001228;01.06.2012;31.12.9999
2001230;31.05.2010;31.12.9999
2001231;10.11.2013;01.01.2099
2001231;10.11.2013;31.12.2099
2001231;10.11.2013;31.12.9999
2001232;30.01.2012;01.01.2099
