rp;tn;begin;end
70;602835;01.01.2013;31.12.9999
70;602837;01.01.2017;31.12.9999
70;602839;01.09.2017;31.12.9999
70;602840;19.09.2005;31.12.9999
70;602841;01.01.2010;31.12.9999
70;602841;13.09.2013;31.12.9999
70;602841;01.04.2020;31.12.9999
70;602842;03.08.2012;31.12.9999
70;602842;01.08.2015;31.12.9999
70;602842;20.09.2016;31.12.9999
70;602842;10.10.2016;31.12.9999
70;602843;07.10.2011;31.12.9999
70;602843;05.09.2020;31.12.9999
70;602844;01.01.2014;31.12.9999
70;602846;01.01.2015;31.12.9999
70;602849;01.01.2010;31.12.9999
70;602849;01.01.2017;31.12.9999
70;602850;01.01.2017;31.12.9999
70;602850;01.04.2019;31.12.9999
70;602850;20.06.2019;31.12.9999
70;602851;01.01.2013;31.12.9999
70;602851;21.01.2020;31.12.9999
70;602853;16.01.2018;31.12.9999
70;602854;18.03.1999;31.12.9999
70;602856;14.04.2014;31.12.9999
70;602856;01.06.2014;31.12.9999
70;602857;06.02.2017;31.12.9999
70;602857;23.02.2017;31.12.9999
70;602858;01.01.2010;31.12.9999
70;602858;05.08.2013;31.12.9999
70;602859;12.11.2012;31.12.9999
70;602859;01.09.2018;31.12.9999
70;602860;17.07.2012;31.12.9999
70;602861;12.11.2012;31.12.9999
70;602865;18.07.2014;31.12.9999
70;602865;18.09.2017;31.12.9999
70;602865;01.04.2019;31.12.9999
70;602867;09.01.2014;31.12.9999
70;602868;08.09.2008;31.12.9999
70;602868;01.07.2014;31.12.9999
70;602868;01.04.2019;31.12.9999
70;602869;01.01.2012;31.12.9999
70;602869;01.01.2015;31.12.9999
70;602870;19.11.2009;31.12.9999
70;602873;22.04.2002;31.12.9999
70;602873;03.02.2014;31.12.9999
70;602877;01.07.2014;31.12.9999
70;602878;14.05.2007;31.12.9999
70;602881;01.03.2005;31.12.9999
70;602882;01.01.2016;31.12.9999
70;602885;08.08.2011;31.12.9999
70;602885;09.12.2016;31.12.9999
70;602886;10.12.2009;31.12.9999
70;602886;20.09.2018;31.12.9999
70;602888;01.07.2014;31.12.9999
70;602890;19.03.2013;31.12.9999
70;602891;10.10.2008;31.12.9999
70;602891;16.04.2018;31.12.9999
70;602893;08.07.2002;31.12.9999
70;602895;28.10.2013;31.12.9999
70;602896;11.02.2013;31.12.9999
70;602896;01.03.2014;31.12.9999
70;602901;10.10.2013;31.12.9999
70;602902;25.06.2013;31.12.9999
70;602902;01.10.2019;31.12.9999
70;602903;01.07.2014;31.12.9999
70;602903;16.04.2018;31.12.9999
70;602903;01.01.2019;31.12.9999
70;602903;01.04.2019;31.12.9999
70;602904;18.03.2005;31.12.9999
70;602904;01.01.2020;31.12.9999
70;602907;01.09.2015;31.12.9999
70;602907;25.12.2017;31.12.9999
70;602907;01.05.2019;31.12.9999
70;602910;01.01.2012;31.12.9999
70;602911;01.01.2012;31.12.9999
70;602911;03.02.2014;31.12.9999
70;602911;17.03.2015;31.12.9999
70;602911;01.06.2015;31.12.9999
70;602911;19.10.2015;31.12.9999
70;602912;12.05.2009;31.12.9999
