;Табельный номер;Количество ошибок
1651;606847;2
1652;606850;3
1653;606851;2
1654;606852;3
1655;606854;2
1656;606855;2
1657;606856;2
1658;606858;2
1659;606859;2
1660;606860;2
1661;606861;2
1662;606865;3
1663;606866;3
1664;606867;4
1665;606868;2
1666;606869;3
1667;606874;2
1668;606875;2
1669;606877;3
1670;606878;2
1671;606879;2
1672;606880;3
1673;606881;2
1674;606882;4
1675;606883;3
1676;606885;2
1677;606886;3
1678;606890;2
1679;606896;2
1680;606898;3
1681;606899;2
1682;606900;2
1683;606902;3
1684;606906;2
1685;606909;2
1686;606910;3
1687;606913;3
1688;606916;4
1689;606918;4
1690;606922;3
1691;606924;2
1692;606927;3
1693;606929;3
1694;606931;2
1695;606932;2
1696;606933;2
1697;606935;3
1698;606944;2
1699;606945;2
1700;606950;3
1701;606952;2
1702;606954;2
1703;606956;2
1704;606958;2
1705;606960;2
1706;606962;2
1707;606963;2
1708;606964;3
1709;606965;2
1710;606966;2
1711;606968;2
1712;606969;3
1713;606970;2
1714;606973;4
1715;606976;2
1716;606980;3
1717;606981;2
1718;606983;2
1719;606987;2
1720;606988;2
1721;606989;2
1722;606990;2
1723;606991;2
1724;606993;2
1725;606996;2
1726;606998;2
1727;607001;3
1728;607002;4
1729;607004;2
1730;607007;2
1731;607009;2
1732;607010;4
1733;607014;2
1734;607015;3
1735;607016;3
1736;607017;3
1737;607020;3
1738;607021;3
1739;607022;3
1740;607023;3
1741;607025;2
1742;607027;3
1743;607029;2
1744;607036;3
1745;607037;3
1746;607043;2
1747;607047;2
1748;607048;2
1749;607050;4
1750;607052;3
1751;607055;2
1752;607065;2
1753;607066;2
1754;607068;3
1755;607071;5
1756;607073;2
1757;607078;2
1758;607082;3
1759;607089;5
1760;607090;2
1761;607091;3
1762;607092;4
1763;607094;3
1764;607096;2
1765;607109;2
1766;607113;2
1767;607115;2
1768;607118;2
1769;607123;5
1770;607124;5
1771;607128;2
1772;607130;2
1773;607132;2
1774;607133;2
1775;607142;5
1776;607146;2
1777;607147;2
1778;607148;4
1779;607150;4
1780;607153;3
1781;607154;4
1782;607156;2
1783;607159;2
1784;607162;2
1785;607164;2
1786;607166;5
1787;607169;3
1788;607175;3
1789;607181;4
1790;607182;4
1791;607186;2
1792;607188;3
1793;607191;5
1794;607192;3
1795;607193;6
1796;607195;2
1797;607198;2
1798;607199;2
1799;607200;5
1800;607203;2
1801;607204;2
1802;607207;7
1803;607208;6
1804;607209;5
1805;607210;3
1806;607213;2
1807;607214;3
1808;607216;2
1809;607217;5
1810;607219;2
1811;607221;3
1812;607222;3
1813;607225;4
1814;607227;4
1815;607231;2
1816;607236;3
1817;607237;2
1818;607239;3
1819;607249;2
1820;607260;3
1821;607261;5
1822;607270;4
1823;607271;3
1824;607272;3
1825;607273;2
1826;607275;4
1827;607276;2
1828;607277;2
1829;607279;2
1830;607280;2
1831;607281;2
1832;607282;3
1833;607283;3
1834;607284;6
1835;607285;2
1836;607286;3
1837;607287;2
1838;607288;3
1839;607291;3
1840;607293;2
1841;607294;2
1842;607296;3
1843;607299;2
1844;607303;2
1845;607306;2
1846;607307;2
1847;607308;3
1848;607309;2
1849;607310;2
1850;607311;2
1851;607315;2
1852;607317;3
1853;607318;5
1854;607319;4
1855;607321;3
1856;607323;2
1857;607324;2
1858;607325;2
1859;607327;5
1860;607328;3
1861;607329;2
1862;607333;7
1863;607340;2
1864;607342;2
1865;607345;3
