tn;begin;end
901202;11.05.2010;31.12.9999
901203;19.03.2007;31.12.9999
901203;01.03.2010;31.12.9999
901203;17.07.2019;31.12.9999
901205;12.12.2011;31.12.9999
901205;01.04.2019;31.12.9999
901206;11.10.1993;31.12.9999
901206;15.08.2011;31.12.9999
901206;01.04.2020;31.12.9999
901208;16.09.2011;31.12.9999
901208;10.10.2014;31.12.9999
901210;18.03.2015;31.12.9999
901211;30.05.2011;31.12.9999
901211;01.04.2020;31.12.9999
901215;01.09.2012;31.12.9999
901217;17.06.2019;31.12.9999
901218;01.01.2016;31.12.9999
901218;01.04.2020;31.12.9999
901222;28.10.2011;31.12.9999
901224;01.01.2016;31.12.9999
901225;26.09.2008;31.12.9999
901233;01.01.2016;31.12.9999
901234;26.03.2013;31.12.9999
901235;22.02.2018;31.12.9999
901237;01.02.2007;31.12.9999
901239;27.12.2016;31.12.9999
901240;28.05.2018;31.12.9999
901241;01.08.2001;31.12.9999
901245;01.12.2002;31.12.9999
901246;01.01.2016;31.12.9999
901249;01.10.2014;31.12.9999
901252;03.07.2020;31.12.9999
901253;16.12.2019;31.12.9999
901256;09.04.2018;31.12.9999
901258;19.08.2019;31.12.9999
901259;02.06.2014;31.12.9999
901261;02.12.2019;31.12.9999
901262;01.07.2011;31.12.9999
901263;01.10.2011;31.12.9999
901264;02.12.2019;31.12.9999
901267;29.08.2011;31.12.9999
901267;09.01.2020;31.12.9999
901269;19.05.2014;31.12.9999
901270;02.12.2019;31.12.9999
901271;01.04.2020;31.12.9999
901272;20.03.2012;31.12.9999
901273;13.05.2014;31.12.9999
901274;28.05.2018;31.12.9999
901275;14.05.2015;31.12.9999
901276;09.01.2020;31.12.9999
901277;01.08.2013;31.12.9999
901278;06.03.2014;31.12.9999
901278;07.10.2019;31.12.9999
901279;12.11.2019;31.12.9999
901282;01.04.2020;31.12.9999
901283;23.09.2014;31.12.9999
901283;03.03.2017;31.12.9999
901284;01.07.2016;31.12.9999
901286;01.03.2016;31.12.9999
901287;01.07.2016;31.12.9999
901288;01.04.2020;31.12.9999
901290;14.09.2020;31.12.9999
901292;23.12.2019;31.12.9999
901293;17.07.2014;31.12.9999
901293;04.12.2014;31.12.9999
901294;19.12.2019;31.12.9999
901295;15.04.2014;31.12.9999
901295;01.01.2016;31.12.9999
901296;25.07.2014;31.12.9999
901296;24.04.2017;31.12.9999
901297;30.04.2014;31.12.9999
901297;01.01.2016;31.12.9999
901298;16.04.2019;31.12.9999
901299;09.12.2019;31.12.9999
901300;15.04.2014;31.12.9999
901303;01.04.2020;31.12.9999
901305;01.06.2020;31.12.9999
901306;30.07.2014;31.12.9999
901306;09.12.2019;31.12.9999
901308;29.12.2017;31.12.9999
901309;29.05.2020;31.12.9999
901312;01.10.2014;31.12.9999
901313;05.12.2017;31.12.9999
901315;11.08.2014;31.12.9999
901316;15.01.2015;31.12.9999
901316;01.04.2020;31.12.9999
901317;03.10.2016;31.12.9999
901318;22.01.2018;31.12.9999
901319;01.04.2020;31.12.9999
901321;01.03.2013;31.12.9999
901324;18.01.2019;31.12.9999
901325;09.12.2019;31.12.9999
901330;12.08.2020;31.12.9999
901331;26.12.2018;31.12.9999
901348;17.02.2015;31.12.9999
